corpus	track1_mbps	sonic_mbps	floor_mbps	margin_mbps	admit
twitter	12633.652	16225.132	16226.132	-3592.480	no
github_events	14161.872	17500.027	17501.027	-3339.155	no
update_center	10388.135	14653.580	14654.580	-4266.445	no
random	8512.116	10837.393	10838.393	-2326.277	no
gsoc-2018	22746.743	36312.402	36313.402	-13566.659	no
distinct_values	6694.096	12064.448	12065.448	-5371.352	no
