corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
gsoc-2018	real_typed_track1	3327831	400	0	5711.366	1.400716	7848949780	19752927728	5.896446	0.397356	44004251	317553	0
gsoc-2018	real_typed_track2	3327831	400	0	5631.957	1.420465	7973081197	19612675930	5.989698	0.406527	44662656	311803	0
gsoc-2018	real_typed_sonic	3327831	400	0	6017.313	1.329497	7437706605	17798537748	5.587503	0.417883	41666968	347071	0
gsoc-2018	real_typed_serde	3327831	400	0	5639.270	1.418623	7963963069	19612722376	5.982848	0.406061	44605335	316508	0
