corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
unicode_mixed	parse_only_sonic	1053086	400	0	8059.945	0.992563	1759073657	4591522894	4.175997	0.383113	9879386	66255	0
unicode_mixed	parse_only_serde	1053086	400	0	3073.929	2.602533	4625326104	18881897996	10.980409	0.244961	25962241	164227	0
unicode_escapes	parse_only_track1	1050797	400	0	11876.425	0.673603	1195513015	5185247995	2.844301	0.230560	6706086	40919	0
unicode_escapes	parse_only_track2	1050797	400	0	11023.567	0.725718	1290472711	5458078152	3.070224	0.236434	7232417	42105	0
unicode_escapes	parse_only_sonic	1050797	400	0	3424.222	2.336297	4152605346	8339313361	9.879656	0.497955	23293395	125420	0
unicode_escapes	parse_only_serde	1050797	400	0	4367.710	1.831623	3239588244	14316943942	7.707455	0.226277	18185939	123748	0
unicode_basic	parse_only_track1	1048586	400	0	13528.346	0.591351	1045193975	4070911571	2.491913	0.256747	5862243	43795	0
unicode_basic	parse_only_track2	1048586	400	0	7276.376	1.099448	1947131438	6885047765	4.642279	0.282806	10913702	72073	0
unicode_basic	parse_only_sonic	1048586	400	0	10502.734	0.761706	1348406552	4830061561	3.214821	0.279170	7566698	45790	0
unicode_basic	parse_only_serde	1048586	400	0	2475.534	3.231626	5701785422	30335925068	13.593986	0.187955	32075242	207803	0
gsoc-2018	parse_only_track1	3327831	400	0	22819.144	0.350583	1970232489	7046777622	1.480118	0.279593	11054927	65133	0
gsoc-2018	parse_only_track2	3327831	400	0	18506.064	0.432291	2426775170	9250557775	1.823091	0.262338	13615949	85003	0
gsoc-2018	parse_only_sonic	3327831	400	0	35998.458	0.222232	1242009948	4296727901	0.933048	0.289059	6993065	47670	0
gsoc-2018	parse_only_serde	3327831	400	0	11034.586	0.724993	4054793551	19559289654	3.046123	0.207308	22770613	177294	0
distinct_values	parse_only_track1	153630	400	0	6815.473	1.173800	302963746	641184837	4.930088	0.472506	1701266	14213	0
distinct_values	parse_only_track2	153630	400	0	4870.980	1.642380	420452433	1247066788	6.841965	0.337153	2369083	21230	0
distinct_values	parse_only_sonic	153630	400	0	11841.960	0.675564	171485739	554244291	2.790564	0.309405	970813	8814	0
distinct_values	parse_only_serde	153630	400	0	2680.096	2.984968	767623309	4309342216	12.491429	0.178130	4331022	32602	0
y_string_unicode	parse_only_track1	35601	400	0	6175.578	1.295425	77816305	256756473	5.464475	0.303074	436315	2873	0
y_string_unicode	parse_only_track2	35601	400	0	4270.098	1.873493	112576515	369070257	7.905432	0.305027	630380	4941	0
y_string_unicode	parse_only_sonic	35601	400	0	3832.679	2.087313	125084782	282892723	8.783797	0.442163	700813	5545	0
y_string_unicode	parse_only_serde	35601	400	0	3547.260	2.255262	134072898	839365241	9.414967	0.159731	749791	10213	0
