corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
gsoc-2018	real_typed_track1	3327831	400	0	5721.774	1.398168	7847915251	19077549518	5.895668	0.411369	44011319	268315	0
gsoc-2018	real_typed_track2	3327831	400	0	5702.669	1.402852	7906534045	19560760889	5.939705	0.404204	44362787	204055	0
gsoc-2018	real_typed_sonic	3327831	400	0	6110.086	1.309311	7382205619	17830140693	5.545809	0.414030	41390185	197670	0
gsoc-2018	real_typed_serde	3327831	400	0	5666.604	1.411780	7938112558	19564250970	5.963428	0.405746	44526010	254794	0
gsoc-2018	direct_strict_track1	3327831	400	0	5799.223	1.379495	7771205327	19080239781	5.838041	0.407291	43611468	209741	0
gsoc-2018	direct_strict_track2	3327831	400	0	5698.287	1.403931	7915326646	19571762533	5.946311	0.404426	44368947	216665	0
gsoc-2018	direct_strict_sonic	3327831	400	0	6092.172	1.313161	7388848867	17840141159	5.550799	0.414170	41470791	205724	0
gsoc-2018	direct_strict_serde	3327831	400	0	5708.105	1.401516	7898807446	19569266552	5.933901	0.403633	44303068	211668	0
