corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
gsoc-2018	real_typed_track1	3327831	400	0	18654.479	0.428851	2386710751	10467717138	1.792993	0.228007	13460028	98207	0
gsoc-2018	real_typed_track2	3327831	400	0	22217.221	0.360081	2031750796	8809766326	1.526333	0.230625	11394716	52942	0
gsoc-2018	real_typed_sonic	3327831	400	0	24840.387	0.322056	1814730500	7037092273	1.363298	0.257881	10180022	49569	0
gsoc-2018	real_typed_serde	3327831	400	0	21758.938	0.367665	2057281522	8812378531	1.545512	0.233454	11584936	67923	0
gsoc-2018	direct_strict_track1	3327831	400	0	18656.802	0.428798	2411765565	10468243507	1.811815	0.230389	13536405	72593	0
gsoc-2018	direct_strict_track2	3327831	400	0	21717.260	0.368371	2058874667	8819456919	1.546709	0.233447	11545292	91943	0
gsoc-2018	direct_strict_sonic	3327831	400	0	24767.798	0.323000	1818398502	7041570524	1.366054	0.258238	10202281	51236	0
gsoc-2018	direct_strict_serde	3327831	400	0	22106.723	0.361881	2039940129	8816135294	1.532485	0.231387	11433915	58773	0
