corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
distinct_values	real_typed_track1	153630	400	0	8827.520	0.906257	231611508	1339306363	3.768982	0.172934	1305528	13781	0
distinct_values	real_typed_track2	153630	400	0	3245.184	2.465192	629347883	3541661160	10.241292	0.177699	3540747	41622	0
distinct_values	real_typed_sonic	153630	400	0	3895.064	2.053881	528947311	3203692468	8.607487	0.165106	2970880	27280	0
distinct_values	real_typed_serde	153630	400	0	3334.552	2.399123	618171004	3539818112	10.059412	0.174634	3469270	29635	0
