corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
canada	real_typed_track1	2251051	400	0	4761.909	1.679998	6338023463	37258600475	7.038960	0.170109	35621643	292675	0
canada	real_typed_track2	2251051	400	0	3397.878	2.354411	8922043772	50952945963	9.908753	0.175104	50019945	374887	0
canada	real_typed_sonic	2251051	400	0	2736.418	2.923530	11080998008	67152056356	12.306472	0.165014	62120553	465124	0
canada	real_typed_serde	2251051	400	0	3383.986	2.364076	8937404972	50959051634	9.925814	0.175384	50152942	403899	0
