corpus	track1_mbps	sonic_mbps	sonic_plus_one_floor_mbps	margin_vs_floor_mbps	iters	bytes	warmup_iters	disposition
twitter	12546.497	16444.461	16445.461	-3898.964	1000	631515	0	REJECT
github_events	14024.554	17239.857	17240.857	-3216.303	1000	65132	0	REJECT
update_center	10331.072	14561.737	14562.737	-4231.665	1000	533178	0	REJECT
random	8426.348	10758.538	10759.538	-2333.190	1000	510476	0	REJECT
gsoc-2018	22287.200	36130.468	36131.468	-13844.268	1000	3327831	0	REJECT
distinct_values	6635.355	11892.741	11893.741	-5258.386	1000	153630	0	REJECT
