row	track1_mbps	sonic_mbps	floor_mbps	margin_mbps	admit
y_string_unicode/real_typed_struct	1797.903	3775.346	3776.346	-1978.443	no
y_string_unicode/direct_to_struct	1727.175	4078.430	4079.430	-2352.255	no
