corpus	track1_mbps	sonic_mbps	floor_mbps	margin_mbps	admit
twitter	12679.983	16340.466	16341.466	-3661.483	no
github_events	14161.888	17504.216	17505.216	-3343.328	no
update_center	10281.716	14301.312	14302.312	-4020.596	no
random	8578.566	10825.866	10826.866	-2248.300	no
gsoc-2018	22788.403	36270.819	36271.819	-13483.416	no
distinct_values	6689.145	12053.735	12054.735	-5365.590	no
