corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
gsoc-2018	real_typed_track1	3327831	400	0	5789.034	1.381923	7722870707	18626929284	5.801730	0.414608	43489719	285779	0
gsoc-2018	real_typed_track2	3327831	400	0	6032.241	1.326207	7411450330	16836071468	5.567778	0.440213	41722245	276700	0
gsoc-2018	real_typed_sonic	3327831	400	0	6482.407	1.234109	6914007217	15016892599	5.194079	0.460415	38891254	233431	0
gsoc-2018	real_typed_serde	3327831	400	0	6035.101	1.325578	7406308474	16871532261	5.563916	0.438983	41676085	294520	0
gsoc-2018	direct_strict_track1	3327831	400	0	5680.052	1.408438	7806400920	18656920192	5.864481	0.418419	43918940	432728	0
gsoc-2018	direct_strict_track2	3327831	400	0	6068.919	1.318192	7391038514	16873159874	5.552444	0.438035	41601130	228932	0
gsoc-2018	direct_strict_sonic	3327831	400	0	6459.820	1.238425	6922706338	15028077271	5.200614	0.460652	38964739	253321	0
gsoc-2018	direct_strict_serde	3327831	400	0	5976.563	1.338562	7445079391	16855369332	5.593042	0.441704	41899463	358157	0
