corpus	mode	mbps	ns_per_byte	cycles_per_byte	cpi	iters	bytes	warmup_iters	checksum
gsoc-2018	real_typed_track1	7176.742	1.114712	4.739043	0.236824	400	3327831	0	0
gsoc-2018	real_typed_track2	6233.927	1.283300	5.483628	0.411392	400	3327831	0	0
gsoc-2018	real_typed_sonic	6627.652	1.207064	5.146634	0.438157	400	3327831	0	0
gsoc-2018	real_typed_serde	6101.119	1.311235	5.544650	0.415708	400	3327831	0	0
gsoc-2018	direct_strict_track1	7228.198	1.106776	4.744201	0.237090	400	3327831	0	0
gsoc-2018	direct_strict_track2	6036.352	1.325304	5.582683	0.418328	400	3327831	0	0
gsoc-2018	direct_strict_sonic	6669.742	1.199447	5.109537	0.435136	400	3327831	0	0
gsoc-2018	direct_strict_serde	6283.482	1.273180	5.448965	0.408844	400	3327831	0	0
