corpus	track1_mbps	sonic_mbps	floor_mbps	margin_mbps	admit
twitter	12796.489	16444.898	16445.898	-3649.409	no
github_events	14102.875	17519.443	17520.443	-3417.568	no
update_center	10451.067	14448.873	14449.873	-3998.806	no
random	8548.923	10704.985	10705.985	-2157.062	no
gsoc-2018	22744.353	36518.232	36519.232	-13774.879	no
distinct_values	6805.900	12062.376	12063.376	-5257.476	no
