corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
gsoc-2018	real_typed_track1	3327831	400	0	5763.351	1.388081	7787976999	19075416596	5.850640	0.408273	43677853	268295	0
gsoc-2018	real_typed_track2	3327831	400	0	5719.117	1.398817	7894525736	19558882735	5.930684	0.403629	44227916	211746	0
gsoc-2018	real_typed_sonic	3327831	400	0	6122.228	1.306714	7378557465	17828581141	5.543068	0.413861	41310476	204546	0
gsoc-2018	real_typed_serde	3327831	400	0	5707.146	1.401752	7902538481	19560480771	5.936704	0.404005	44283270	223058	0
gsoc-2018	direct_strict_track1	3327831	400	0	5834.269	1.371209	7733615575	19080137284	5.809802	0.405323	43259527	251515	0
gsoc-2018	direct_strict_track2	3327831	400	0	5734.608	1.395039	7878450601	19568669618	5.918608	0.402605	44089268	228112	0
gsoc-2018	direct_strict_sonic	3327831	400	0	6111.175	1.309077	7377462892	17841534608	5.542246	0.413499	41331184	219637	0
gsoc-2018	direct_strict_serde	3327831	400	0	5721.838	1.398152	7894740988	19567347454	5.930846	0.403465	44213112	219788	0
