corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
gsoc-2018	real_typed_track1	3327831	400	0	19909.635	0.401815	2260749620	9510878537	1.698366	0.237701	12664762	77896	0
gsoc-2018	real_typed_track2	3327831	400	0	21848.960	0.366150	2053920691	8813722539	1.542988	0.233037	11519511	82292	0
gsoc-2018	real_typed_sonic	3327831	400	0	24783.657	0.322793	1812615080	7002306555	1.361709	0.258860	10155807	69594	0
gsoc-2018	real_typed_serde	3327831	400	0	22139.654	0.361343	2042869087	8811456061	1.534685	0.231842	11430974	56260	0
gsoc-2018	direct_strict_track1	3327831	400	0	19938.076	0.401242	2264829774	9514988563	1.701431	0.238028	12671800	66898	0
gsoc-2018	direct_strict_track2	3327831	400	0	22189.078	0.360538	2035803364	8815598174	1.529377	0.230932	11386784	59095	0
gsoc-2018	direct_strict_sonic	3327831	400	0	24927.218	0.320934	1812565960	7040113699	1.361672	0.257463	10140577	53727	0
gsoc-2018	direct_strict_serde	3327831	400	0	22131.199	0.361481	2042136321	8815961433	1.534135	0.231641	11433594	53875	0
