corpus	track1_mbps	sonic_mbps	sonic_plus_one_floor_mbps	margin_vs_floor_mbps	iters	bytes	warmup_iters	disposition
twitter	7279.499	15393.239	15394.239	-8114.740	1000	631515	0	REJECT
github_events	8738.756	15912.253	15913.253	-7174.497	1000	65132	0	REJECT
update_center	9956.990	14299.827	14300.827	-4343.837	1000	533178	0	REJECT
random	4492.659	10465.257	10466.257	-5973.598	1000	510476	0	REJECT
gsoc-2018	16187.535	34136.162	34137.162	-17949.627	1000	3327831	0	REJECT
distinct_values	4284.404	11310.197	11311.197	-7026.793	1000	153630	0	REJECT
