artifact_kind	path	exists	bytes	sidecar_path	sidecar_exists	sidecar_bytes	log_path	log_exists
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__github_events.json.gz	true	17798	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__github_events.json.syms.json	true	12742	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__github_events.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__gsoc-2018.json.gz	true	28761	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__gsoc-2018.json.syms.json	true	11363	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__gsoc-2018.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__instruments.json.gz	true	16989	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__instruments.json.syms.json	true	17337	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__instruments.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__marine_ik.json.gz	true	19108	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__marine_ik.json.syms.json	true	11467	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__marine_ik.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__mesh.json.gz	true	23123	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__mesh.json.syms.json	true	12402	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__mesh.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__numbers.json.gz	true	19839	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__numbers.json.syms.json	true	9153	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__numbers.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__random.json.gz	true	25672	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__random.json.syms.json	true	11710	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__random.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__twitter.json.gz	true	11670	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__twitter.json.syms.json	true	12397	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__twitter.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__unicode_basic.json.gz	true	26939	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__unicode_basic.json.syms.json	true	10954	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__unicode_basic.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__unicode_escapes.json.gz	true	50453	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__unicode_escapes.json.syms.json	true	7839	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__unicode_escapes.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__unicode_mixed.json.gz	true	38092	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__unicode_mixed.json.syms.json	true	11012	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__unicode_mixed.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__update_center.json.gz	true	22632	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__update_center.json.syms.json	true	13816	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__update_center.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__y_string_unicode.json.gz	true	63863	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__y_string_unicode.json.syms.json	true	9538	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__y_string_unicode.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__apache_builds.json.gz	true	34235	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__apache_builds.json.syms.json	true	15587	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__apache_builds.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__canada.json.gz	true	209518	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__canada.json.syms.json	true	28459	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__canada.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__citm_catalog.json.gz	true	13129	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__citm_catalog.json.syms.json	true	21560	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__citm_catalog.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__distinct_values.json.gz	true	96895	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__distinct_values.json.syms.json	true	14861	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__distinct_values.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__github_events.json.gz	true	22638	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__github_events.json.syms.json	true	24749	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__github_events.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__gsoc-2018.json.gz	true	29156	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__gsoc-2018.json.syms.json	true	18641	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__gsoc-2018.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__instruments.json.gz	true	28159	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__instruments.json.syms.json	true	22200	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__instruments.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__marine_ik.json.gz	true	20903	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__marine_ik.json.syms.json	true	26361	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__marine_ik.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__mesh.json.gz	true	27048	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__mesh.json.syms.json	true	20911	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__mesh.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__numbers.json.gz	true	25438	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__numbers.json.syms.json	true	8694	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__numbers.log	true
